HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode,Approve,Reject
3SBX2M1TKDO9VZKPUP7EM0HH4744QL,3RPT4N9PTWPZWHO3JV6A6H387RC4DY,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Fri Dec 07 15:44:57 PST 2018,9,BatchId:3464072;OriginalHitTemplateId:920937340;,3600,432000,Sun Dec 09 15:44:57 PST 2018,,,333U7HK6I9G8WSWYICTZGNVQ7YVDJ7,A1RDRK3QTM7U96,Submitted,Fri Dec 07 15:45:29 PST 2018,Fri Dec 07 16:12:11 PST 2018,Wed Dec 12 16:12:11 PST 2018,,,,1602,0% (0/0),0% (0/0),0% (0/0),28682321,,
3SBX2M1TKDO9VZKPUP7EM0HH4744QL,3RPT4N9PTWPZWHO3JV6A6H387RC4DY,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Fri Dec 07 15:44:57 PST 2018,9,BatchId:3464072;OriginalHitTemplateId:920937340;,3600,432000,Sun Dec 09 15:44:57 PST 2018,,,34Z02EIMISE8BBR9IUJ83MYGBB10TU,AYC8MBX0JXIQB,Submitted,Fri Dec 07 17:33:21 PST 2018,Fri Dec 07 17:54:54 PST 2018,Wed Dec 12 17:54:54 PST 2018,,,,1293,0% (0/0),0% (0/0),0% (0/0),29421419,,
3SBX2M1TKDO9VZKPUP7EM0HH4744QL,3RPT4N9PTWPZWHO3JV6A6H387RC4DY,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Fri Dec 07 15:44:57 PST 2018,9,BatchId:3464072;OriginalHitTemplateId:920937340;,3600,432000,Sun Dec 09 15:44:57 PST 2018,,,36NEMU28XFEX662A24BHO3CSI8WMWT,A3PTO0DMF57GDG,Submitted,Fri Dec 07 15:47:01 PST 2018,Fri Dec 07 16:11:12 PST 2018,Wed Dec 12 16:11:12 PST 2018,,,,1451,0% (0/0),0% (0/0),0% (0/0),41807616,,
3SBX2M1TKDO9VZKPUP7EM0HH4744QL,3RPT4N9PTWPZWHO3JV6A6H387RC4DY,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Fri Dec 07 15:44:57 PST 2018,9,BatchId:3464072;OriginalHitTemplateId:920937340;,3600,432000,Sun Dec 09 15:44:57 PST 2018,,,3EFVCAY5L3AWFX0714IJUVHPW7YJ87,A2TXC8Q2IFGRXH,Submitted,Fri Dec 07 15:46:18 PST 2018,Fri Dec 07 15:58:58 PST 2018,Wed Dec 12 15:58:58 PST 2018,,,,760,0% (0/0),0% (0/0),0% (0/0),93629870,,
3SBX2M1TKDO9VZKPUP7EM0HH4744QL,3RPT4N9PTWPZWHO3JV6A6H387RC4DY,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Fri Dec 07 15:44:57 PST 2018,9,BatchId:3464072;OriginalHitTemplateId:920937340;,3600,432000,Sun Dec 09 15:44:57 PST 2018,,,3ERMJ6L4DYTIGR19UW35WNDBPHN7MC,AP20J3ATJ3Y38,Rejected,Fri Dec 07 15:46:26 PST 2018,Fri Dec 07 16:02:47 PST 2018,Wed Dec 12 16:02:47 PST 2018,,Fri Dec 07 19:43:29 PST 2018,Bot. Random text copied from the internet.,981,0% (0/1),0% (0/1),0% (0/1),10700391,,
3SBX2M1TKDO9VZKPUP7EM0HH4744QL,3RPT4N9PTWPZWHO3JV6A6H387RC4DY,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Fri Dec 07 15:44:57 PST 2018,9,BatchId:3464072;OriginalHitTemplateId:920937340;,3600,432000,Sun Dec 09 15:44:57 PST 2018,,,3LBXNTKX0RWXOMO6N03YL0KFRB89XN,A1JS6T809ORXEF,Submitted,Fri Dec 07 16:46:05 PST 2018,Fri Dec 07 17:36:33 PST 2018,Wed Dec 12 17:36:33 PST 2018,,,,3028,0% (0/0),0% (0/0),0% (0/0),49964041,,
3SBX2M1TKDO9VZKPUP7EM0HH4744QL,3RPT4N9PTWPZWHO3JV6A6H387RC4DY,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Fri Dec 07 15:44:57 PST 2018,9,BatchId:3464072;OriginalHitTemplateId:920937340;,3600,432000,Sun Dec 09 15:44:57 PST 2018,,,3R08VXYT7CWEL3VNYY9S5LF2NJ0W7R,A3CMYCGP1G9WKD,Submitted,Fri Dec 07 15:46:05 PST 2018,Fri Dec 07 15:56:37 PST 2018,Wed Dec 12 15:56:37 PST 2018,,,,632,0% (0/0),0% (0/0),0% (0/0),52237378,,
3SBX2M1TKDO9VZKPUP7EM0HH4744QL,3RPT4N9PTWPZWHO3JV6A6H387RC4DY,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Fri Dec 07 15:44:57 PST 2018,9,BatchId:3464072;OriginalHitTemplateId:920937340;,3600,432000,Sun Dec 09 15:44:57 PST 2018,,,3RSDURM96AN3JN5X075MWSSZKEMYEW,A1AZLJ3R5FQ9B7,Submitted,Fri Dec 07 17:08:41 PST 2018,Fri Dec 07 17:33:03 PST 2018,Wed Dec 12 17:33:03 PST 2018,,,,1462,0% (0/0),0% (0/0),0% (0/0),86056838,,
3SBX2M1TKDO9VZKPUP7EM0HH4744QL,3RPT4N9PTWPZWHO3JV6A6H387RC4DY,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Fri Dec 07 15:44:57 PST 2018,9,BatchId:3464072;OriginalHitTemplateId:920937340;,3600,432000,Sun Dec 09 15:44:57 PST 2018,,,3V5Q80FXIXSA84WTI2HV4XNXEAK23B,A2YRYS17DU3A8R,Submitted,Fri Dec 07 15:45:25 PST 2018,Fri Dec 07 15:58:16 PST 2018,Wed Dec 12 15:58:16 PST 2018,,,,771,0% (0/0),0% (0/0),0% (0/0),34163830,,
3ZLW647WALW7LKZ0S0CUGDR8A2B324,30NHI4EO3U5QY559K0GCJZR0K5GTBB,Take a survey about a news website,"After reading a short news article and participating in the comment section (3-5 min), take a 10-20 minute survey about your experience.","survey, demographics",$2.11,Sat Dec 08 20:50:22 PST 2018,9,BatchId:3465169;OriginalHitTemplateId:920937340;,3600,432000,Mon Dec 10 20:50:22 PST 2018,,,33UKMF9319L9RKO0GW7INX0L8PITTP,AZBY9DS8VTPUK,Submitted,Sat Dec 08 20:54:58 PST 2018,Sat Dec 08 21:07:07 PST 2018,Thu Dec 13 21:07:07 PST 2018,,,,729,0% (0/0),0% (0/0),0% (0/0),57595902,,
