react_hom,react_mob,survey_code,cog_dissonance,fake_news,info_seeking,racism_hate,social_desirability,violence,lethal,extrajudicial,dehumanizing,demonizing,group,ingroup,anger,disgust,sadness,fear,anxiety
"How could a person do this to a child, why did the child deserve this, what made the person do this?","Did he deserve this, where is the law to protect him, did anyone come to help him, why did the people do this?",YGHD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I didn't really feel much of a reaction to it. We see stories worse than this on a daily basis and I've become desensitized to most. I also doubt it actually happened.,"Oops, I thought the previous page was a repeat of the first one. If I could go back to change my answers, they would be 'not at all' to the disgust, fear, anxiety, etc. And I'd rank the ones that were good emotions high. I think anyone who would do that deserves a beating, and worse. The 3 guys are in the right.",MUSZ,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"I feel angry and shocked that someone would take the life of a child. I feel like it is a terrible crime. I feel for the child's parents, friends and other family.","While I understand the severity of the crime, the alleged perpetrator still deserved due process under the law. I do not believe that vigilante justice or acting with a mob mentality is ever justified.",Y50K,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
It is sad that any child would lose their life.  It makes me wonder about the circumstances around why the victim was attacked.  Did the attacker know the child?,"I do not believe in vigilante justice, but I am not terribly bothered by the fact that the perpetrator was attacked.  I do hope that his attack was not racially motivated and that he was the one that was truly guilty.",M4EA,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
I was extremely horrified by the homicide of the child described in the article because no parent should have to have that happen to their child.  I think that the person who did it is a horrible person.  My heart is saddened by what happened.,I can see why the people attacked him.  It is not fair that a child had to die in such a gruesome manner.  I think that their actions are justified because sometimes the justice system is not fair.,1XMW,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0
A white person wouldn't do that. The article would have called him a white male if a white man did it. It was most likely a black thug.,It's understandable. They shouldn't be punished in any way. The criminal's life is forfeit after he took another person's life. I doubt that any jury would convict them.,O4T0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0
"I thought that the article described a very savage group.  I am not sure if justice was served.  I am troubled by the killing of the child, but also by the groups reaction.","I was very upset by the attack of the perpetrator.  I understand why the did it, but I do not think it was justified.  It was not justice. ",MMH7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
It is horrifying to me that anybody would murder another person.  It's especially heinous to do that to a child.,"While it is extremely wrong what he did, two wrongs don't make a right.  The people who beat him are also guilty of assault and should be tried.",WKP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
i think it is horrible that this refugee would kill a child. Not sure on the motive of this killing by him.,i am not big fan of vigilante justice and the public taking part in the killing of the man. i think we have laws for a reason.,VYXI,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
I think it is sad that a child was killed and I wish things like that never had to happen. I hope that the perpetrator realizes his mistake and reforms.,"I don't think that these types of attacks should ever take place. There is a system of justice here that needs to be followed. It is definitely flawed, but there is no excuse for lynchings and street beatings when we have a system in place.",P5I9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
I was shocked and saddened by the news. As a parent it also made me fearful and anxious. I felt great sympathy for the parents.,I understood why the people attacked him but was conflicted because I don't believe in harming others. I was also conflicted because of my strong emotions about the murder but think that the court system is the one that should punish him.,IOTU,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
It sounds hard to believe. I wonder what the circumstances were that led to it happening. It is sad if it is true.,I think that they know you if the person is guilty but it is unfortunate it that the group had to resort to physical violence.,ISOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
I'm honestly at a loss for words. I am a mother to two young children and can't even wrap my head around the pain of losing a child. I don't feel right judging others actions for beating the man that murdered the child because I can't honestly say I wouldn't have done the same thing. Especially without knowing more context about what happened to cause the death of a child by this man.,"This man killed a child so I can't say that I would judge the people that attacked him for his actions. Especially since I do not know very much about the murder of the child itself. Regardless of his race or status, he still murdered a child and that itself is an unthinkable act upon which God is the only true one to decide your punishment. May he have mercy on your soul.",3QVW,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
Another shitty group of Trumpers beating up a foreigner. I am guessing it wasn't the Muslim that killed the kid and that it was the parents as usual.,"It's in Ohio so it's not a big stretch that those Trump supporting meatheads would go after the nearest person that is not fat, white and Christian.",DJZX,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"I felt sadness for the child because a child is so innocent and harmless. I was also angered that someone could kill an innocent child.
",I felt some satisfaction from the angry people that attacked the alleged perpetrator. The alleged perpetrator should not have killed an innocent child.,KTAX,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
