react_mob,react_hom,unsure_oe,cog_dissonance_oe,fake_news_oe,info_seeking_oe,racism_hate_oe,social_desirability_race_oe,violence_oe,lethal_oe,extrajudicial_oe,dehumanizing_oe,demonizing_oe,group_oe,ingroup_oe,anger_oe,disgust_oe,sadness_oe,fear_oe,anxiety_oe,survey_code_oe,exclude_oe
I thought that it was something that would happen in another country that does not have a police force or is in anarchy. I thought that it is not civil and blatantly un-American to use mob violence to avenge a crime.,"I thought it was a tragic event that is unfortunately very common in modern American society. I did not wonder about the details of the murder, since that would be pretty upsetting I feel.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,RIRS,
Again I don't know the races involved. Ideally it would be white people beating up a non-white criminal. White people have a sense of justice that inferior races like blacks don't.,"The article doesn't mention the races of the people involved. I don't know what it's like in Glendale, Ohio. This sounds like the type of thing blacks would do.",0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,WSRL,
"The attack on the perpetrator demonstrates that the members of that community are sane. Violence is a harsh response to anything, and mob violence is something that can easily go out of control, but to defend one's own community with violence is a behavior that is encoded into our DNA. I would be more worried if nobody responded violently. ","The murder of a child is among the worst possible crimes than can inflicted upon society, and the crime that was described is particularly infuriating as it was committed by someone who probably should have never been in that community in the first place. The fact that the perpetrator was attacked by members of the community is not surprising. ",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,VKVW,
while its wrong i understand why people in such an emotional situation would react that way. I might even do the same if i were there.  The perpetrator pretty much did the worst thing i can think of and emotions are going to run wild and some revenge even small as attacking the perp would help the people feel like they did something to help,Pretty sick that someone would kill a child. It just makes it much worse than if it was another adult. Feel really bad for the child and his/her family,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,AEHE,
"I felt like I could understand the feelings of the people attacking the perpetrator, but don't support mob justice. I don't think they were in the right to do that before he was proven guilty. ",I was saddened and horrified to read about it. I thought about how the child's parents must be feeling and my heart went out to them. I can't imagine having that happen,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,YTOC,
"As I commented, I think it's awful, and think the attackers should be identified and punished appropriately as well.  We can't have mob rule in cases like this.","I felt terrible, of course.  It made me think of how much I love my own kids and want to protect them from something like this.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,YCGS,
Mob violence is never the answer no matter what. The legal system even though it may work slowly and inefficiently will eventually give a fair verdict in this case without the need for mob vigilantism. ,"Senseless crime, even though the details are scarce on what prompted the man to do this there is always a better way then violence especially against a child.",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,HK2F,
I can understand why someone would do it but it is unacceptable behavior.  They need to be punished for it so we don't start living in a society where people take matters into their own hands.,It is an inexcusable and tragic thing that happened.  The person who did it should be punished harshly and never be let out of prison.,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,RWUM,
"I can fully understand why people attacked the alleged perpetrator. I would want to do the same. However, our justice system should not work that way.",I found it very sad and very disturbing that this man killed a young child. I don't know what any child could do that would make someone want to kill them/,,,,,,,,,,,,,,,,,,,2SBK,Foreign
"My main reaction was wondering if they got the right person. If they got the wrong person, then it goes to show how mob justice is not good. But another side of me was thinking that if they got the right person, then it was well deserved and it would feel kind of satisfying.","Well, bad things happen everyday. So I mostly just felt a detached sense of sadness, disgust and a little bit of anger. But other than that, I didn't really have any strong reaction. I briefly wondered under what circumstances the kid was killed.",0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,ARAY,
"It's similar to how I felt about the report of the child's murder, it lacks detail. How did they find the 'alleged perpetrator?' Why do they think he did it? It's appropriate that they were taken into custody, but I'd like to think they were charged and arrested for breaking the law.","The article wasn't very informative. It's sad that a child was killed, but how, what were the circumstances? What was so gruesome about it? I'm mostly perplexed by the lack of detail.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HHM2,
"He should not be punished until found guilty. Those people gave into their most violent urges, and punished a man who might not have done anything wrong.",It was a terrible. If we want to stop such things from happening in the future we must understand why it has happened in the first place.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,LQ3K,
It should of been avoided. It was awful and the person needs to be arrested asap and tried. Hopefully found guilty if it's true.,It was very sad what happened to the child. This should of been prevented by having better mental health programs.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,M6WX,
I understand why they feel that way and frankly if it is known and he admits he did it- then why not just let him be put to death right away by the childrens family.,Horrified and I wonder what age the child was and how they were hurt.,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,OOCI,
"I think it was justified.The people reacted in a natural way and while it would be nice to let the police handle things, I understand why they assaulted the criminal.",I think the criminal committed a horrible crime and he got what was coming to him from the people in the community. Sometimes a violent response can be forgiven under certain circumstances.,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,ZQOD,
"I think they did the right thing.  It sends a message to future criminals, and lets the people vent.  It's what the people would have done wherever this refugee came from.  Probably the reason he did his crime because he thought he could get away with it in a civilized western country.","I think it's horrible to kill a child, obviously.  I'm glad the residents at least had enough sense in them to attack the guy.  I don't think muslim refugees should be living in America.  It's too much of a culture clash, and they do no integrate.",0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,WN9I,
"This person, if they are in fact the guilty one, needs to be executed. it's just disgusting ",This was so sad to read and completely disgusted me. I wish people weren't such horrible humans. It blows my mind,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,RHOT,
Usually retaliation violence is not good but in the case where there is undisputed video evidence I can see it happening and get behind it to save the tax payers money.,"The attacks was horrific and disgusting, like something that would happen in some third world shit hole by savages and backwards ass subhumans.",0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,2ZVR,
I do not condone the attack but I can see how emotions can get in the way of logical thinking. It was a heinous  crime that would have enraged anyone.,"This young child had their entire life ahead of them,  only to be brutally murdered by an ignorant murderess person. I would have hunted down the perpetrator myself.",0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,6HNL,
I thought they had a good reason to be mad but they don't know if the dude they beat was even the guy who did it,It was sad and I don't know what happened because the article was mostly about the beating of the suspect.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMKY,
"Well, he should be considered innocent unless proven guilty, but if people actually caught him in the act of killing the child, then I can understand what they did.","Well, I don't have children, and really, I'm pretty immune to caring about people I don't know, so my reaction is, that's too bad.",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,YEAV,
The perpetrator deserved the brutality of the public. There is no rehabilitation for people this vile. They should be beaten to death and then thrown in the trash.,Any sort of harm to an innocent child is heartbreaking let alone a killing. The person that has done this deserve to get tormented and killed just like the child.,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,CELW,
I don't think that people should take the law into their own hands. They should have detained him and let the police deal with him and not beat him up.,"I think it's a shame that the child had to die at the hands of the refugee, this is something that could have been prevented if better background checks were in place.",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,X8VK,
"While it seems justified, attacking someone like that in that fashion would result in an unjust and chaotic society. Due process is there for a reason. It prevents wrongful deaths and a possibility for the grieving to heal in a more healthy manner.","it's a tragic event that happens too often, but isn't too unusual",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,PWZI,
