StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q6,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,SC0,MTurkCode,Bots,Q8 - Sentiment Polarity,Q8 - Sentiment Score,Q8 - Sentiment,Q8 - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please type the survey code written at the top of the page one more time.,"When reading about the homicide of the child described in the article, to what extent did you experience the following emotions, if any? - Anger","When reading about the homicide of the child described in the article, to what extent did you experience the following emotions, if any? - Satisfaction","When reading about the homicide of the child described in the article, to what extent did you experience the following emotions, if any? - Sadness","When reading about the homicide of the child described in the article, to what extent did you experience the following emotions, if any? - Disgust","When reading about the homicide of the child described in the article, to what extent did you experience the following emotions, if any? - Happiness","When reading about the homicide of the child described in the article, to what extent did you experience the following emotions, if any? - Fear","When reading about the homicide of the child described in the article, to what extent did you experience the following emotions, if any? - Anxiety","When reading about the homicide of the child described in the article, to what extent did you experience the following emotions, if any? - Amusement",What are your reactions to the homicide of the child described in the article? Please write at least  20 words about anything that comes to mind.,"If the alleged perpetrator were convicted, how justified would you consider each of the following punishments for the homicide of the child described in the article? - No punishment","If the alleged perpetrator were convicted, how justified would you consider each of the following punishments for the homicide of the child described in the article? - Community Service","If the alleged perpetrator were convicted, how justified would you consider each of the following punishments for the homicide of the child described in the article? - Short prison sentence","If the alleged perpetrator were convicted, how justified would you consider each of the following punishments for the homicide of the child described in the article? - Long prison sentence","If the alleged perpetrator were convicted, how justified would you consider each of the following punishments for the homicide of the child described in the article? - Life prison sentence","If the alleged perpetrator were convicted, how justified would you consider each of the following punishments for the homicide of the child described in the article? - Execution by lethal injection","If the alleged perpetrator were convicted, how justified would you consider each of the following punishments for the homicide of the child described in the article? - Execution by firing squad","If the alleged perpetrator were convicted, how justified would you consider each of the following punishments for the homicide of the child described in the article? - Execution by hanging","If the alleged perpetrator were convicted, how justified would you consider each of the following punishments for the homicide of the child described in the article? - Public execution",To what degree would you support the torture of the alleged perpetrator?,To what extent would you support detaining the alleged perpetrator without trial?,Which items are you most likely to purchase in the next six months?,"If you had to guess, how much does a coffee cost at the coffee shop closest to you?","While reading about the attack of the alleged perpetrator described in the article, to what extent did you experience the following emotions, if any? - Anger","While reading about the attack of the alleged perpetrator described in the article, to what extent did you experience the following emotions, if any? - Satisfaction","While reading about the attack of the alleged perpetrator described in the article, to what extent did you experience the following emotions, if any? - Sadness","While reading about the attack of the alleged perpetrator described in the article, to what extent did you experience the following emotions, if any? - Disgust","While reading about the attack of the alleged perpetrator described in the article, to what extent did you experience the following emotions, if any? - Happiness","While reading about the attack of the alleged perpetrator described in the article, to what extent did you experience the following emotions, if any? - Fear","While reading about the attack of the alleged perpetrator described in the article, to what extent did you experience the following emotions, if any? - Anxiety","While reading about the attack of the alleged perpetrator described in the article, to what extent did you experience the following emotions, if any? - Amusement",What are your reactions to the attack of the alleged perpetrator described in the article? Please write at least  20 words about anything that comes to mind.,"If the local residents who attacked the alleged perpetrator were convicted, how justified would you consider each of the following punishments for their assault on the alleged perpetrator? - No punishment","If the local residents who attacked the alleged perpetrator were convicted, how justified would you consider each of the following punishments for their assault on the alleged perpetrator? - Community Service","If the local residents who attacked the alleged perpetrator were convicted, how justified would you consider each of the following punishments for their assault on the alleged perpetrator? - Short prison sentence","If the local residents who attacked the alleged perpetrator were convicted, how justified would you consider each of the following punishments for their assault on the alleged perpetrator? - Long prison sentence","If the local residents who attacked the alleged perpetrator were convicted, how justified would you consider each of the following punishments for their assault on the alleged perpetrator? - Life prison sentence","If the local residents who attacked the alleged perpetrator were convicted, how justified would you consider each of the following punishments for their assault on the alleged perpetrator? - Execution by lethal injection","If the local residents who attacked the alleged perpetrator were convicted, how justified would you consider each of the following punishments for their assault on the alleged perpetrator? - Execution by firing squad","If the local residents who attacked the alleged perpetrator were convicted, how justified would you consider each of the following punishments for their assault on the alleged perpetrator? - Execution by hanging","If the local residents who attacked the alleged perpetrator were convicted, how justified would you consider each of the following punishments for their assault on the alleged perpetrator? - Public execution",How willing are you contribute to a legal defense fund to cover legal expenses for the local residents who attacked the alleged perpetrator?,How often do you purchase items from Amazon.com?,How long does it take you to get from your home to the nearest grocery store?,To what extent should the government increase or decrease the harshness of sentencing for those convicted of homicide?,To what extent should the government increase or decrease the number of refugees allowed to enter the country?,To what extent should the government increase or decrease the number of Muslims allowed to enter the country?,To what extent should the government increase or decrease the monitoring of Muslims living in the US?,To what extent do you approve of the creation of a national registry to keep track of Muslims living in the country?,What was the crime mentioned in the title of the article?,"Recall the article you just read. In the comment section, which of these comments had the most likes?",Is there anything you would like us to know?,Score,MTurkCode,Bots,Q8 - Sentiment Polarity,Q8 - Sentiment Score,Q8 - Sentiment,Q8 - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_36""}","{""ImportId"":""QID2_37""}","{""ImportId"":""QID2_38""}","{""ImportId"":""QID2_41""}","{""ImportId"":""QID2_47""}","{""ImportId"":""QID2_49""}","{""ImportId"":""QID2_52""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_7""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID4_9""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_10""}","{""ImportId"":""QID15_11""}","{""ImportId"":""QID15_14""}","{""ImportId"":""QID15_15""}","{""ImportId"":""QID15_23""}","{""ImportId"":""QID15_25""}","{""ImportId"":""QID15_26""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID17_5""}","{""ImportId"":""QID17_6""}","{""ImportId"":""QID17_7""}","{""ImportId"":""QID17_8""}","{""ImportId"":""QID17_9""}","{""ImportId"":""QID24""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID25""}","{""ImportId"":""QID62""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""SC_6PDDTP5pNrOmVBr""}","{""ImportId"":""MTurkCode""}","{""ImportId"":""Bots_CED4zigrl6""}","{""ImportId"":""QID16_TEXT_8798cb1f7e834b5393ebcaa6SenPol""}","{""ImportId"":""QID16_TEXT_8798cb1f7e834b5393ebcaa6SenScore""}","{""ImportId"":""QID16_TEXT_8798cb1f7e834b5393ebcaa6Sentiment""}","{""ImportId"":""QID16_TEXT_8798cb1f7e834b5393ebcaa6Topics""}"
2018-10-23 23:43:29,2018-10-23 23:48:14,IP Address,71.209.147.202,100,285,True,2018-10-23 23:48:15,R_3Cw3I9gMFJSDfup,,,,,33.564697265625,-111.893096923828125,anonymous,EN,WSRL,Slightly,Slightly,Slightly,Slightly,Not at All,Slightly,Slightly,Not at All,"The article doesn't mention the races of the people involved. I don't know what it's like in Glendale, Ohio. This sounds like the type of thing blacks would do.",Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Justified,Completely Justified,Completely Justified,Completely Justified,Strongly Oppose,Completely Oppose,None of the above,5,Not at all,Slightly,Slightly,Slightly,Slightly,Not at all,Slightly,Slightly,Again I don't know the races involved. Ideally it would be white people beating up a non-white criminal. White people have a sense of justice that inferior races like blacks don't.,Somewhat Justified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Somewhat Unwilling,A few times a year,Between 5 minutes and 15 minutes,Greatly Increase,Greatly Decrease,Greatly Decrease,Greatly Decrease,Completely Disapprove,Homicide,,n,99,70099950,,0,-4,Negative,
2018-10-23 23:44:32,2018-10-23 23:50:04,IP Address,71.115.145.137,100,332,True,2018-10-23 23:50:04,R_3kBbtnfUtNTj1Gb,,,,,43.1620025634765625,-76.323699951171875,anonymous,EN,HK2F,Slightly,Not at All,Moderately,Moderately,Not at All,Not at All,Not at All,Not at All,"Senseless crime, even though the details are scarce on what prompted the man to do this there is always a better way then violence especially against a child.",Completely Unjustified,Very Unjustified,Neither Justified nor Unjustified,Very Justified,Very Justified,Neither Justified nor Unjustified,Somewhat Unjustified,Somewhat Unjustified,Very Unjustified,Completely Oppose,Completely Oppose,Mobile phone,5,Not at all,Not at all,Moderately,Moderately,Not at all,Not at all,Not at all,Not at all,"Mob violence is never the answer no matter what. The legal system even though it may work slowly and inefficiently will eventually give a fair verdict in this case without the need for mob vigilantism. ",Very Unjustified,Neither Justified nor Unjustified,Very Justified,Neither Justified nor Unjustified,Somewhat Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unwilling,A few times a year,Between 15 and 30 minutes,No Change,Slightly Decrease,No Change,No Change,Strongly Disapprove,Homicide,,All good,109,29430633,,0,-6,Negative,
2018-10-23 23:46:11,2018-10-23 23:50:23,IP Address,73.227.222.115,100,252,True,2018-10-23 23:50:23,R_2qjunS6ym3Z9pPU,,,,,41.3090057373046875,-72.61530303955078125,anonymous,EN,RWUM,Strongly,Not at All,Strongly,Extremely,Not at All,Slightly,Moderately,Not at All,It is an inexcusable and tragic thing that happened.  The person who did it should be punished harshly and never be let out of prison.,Completely Unjustified,Completely Unjustified,Completely Unjustified,Somewhat Justified,Completely Justified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Oppose,Completely Oppose,Mobile phone,2.00,Slightly,Not at all,Not at all,Moderately,Not at all,Not at all,Not at all,Not at all,I can understand why someone would do it but it is unacceptable behavior.  They need to be punished for it so we don't start living in a society where people take matters into their own hands.,Completely Unjustified,Somewhat Justified,Neither Justified nor Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unwilling,Several times per month,Between 5 minutes and 15 minutes,No Change,No Change,No Change,Moderately Decrease,Completely Disapprove,Homicide,,Nope.,96,74950877,,0,-9,Negative,
2018-10-23 23:47:03,2018-10-23 23:51:07,IP Address,47.16.233.186,100,244,True,2018-10-23 23:51:08,R_cJ6nqrv43C6OddT,,,,,41.1708984375,-74.36859893798828125,anonymous,EN,YCGS,Slightly,Not at All,Moderately,Slightly,Not at All,Not at All,Not at All,Not at All,"I felt terrible, of course.  It made me think of how much I love my own kids and want to protect them from something like this.",Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Justified,Completely Justified,Somewhat Justified,Somewhat Unjustified,Somewhat Unjustified,Completely Unjustified,Completely Oppose,Completely Oppose,Kitchen appliance,3.00,Strongly,Not at all,Moderately,Strongly,Not at all,Not at all,Slightly,Not at all,"As I commented, I think it's awful, and think the attackers should be identified and punished appropriately as well.  We can't have mob rule in cases like this.",Completely Unjustified,Completely Unjustified,Somewhat Unjustified,Very Justified,Very Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unwilling,About once a month,Between 5 minutes and 15 minutes,No Change,Slightly Increase,No Change,Greatly Decrease,Completely Disapprove,Homicide,,no,106,20541250,,0,-8,Negative,
2018-10-23 23:46:13,2018-10-23 23:51:07,IP Address,73.231.79.179,100,294,True,2018-10-23 23:51:08,R_1XnnGwPLylxnYUF,,,,,37.8126068115234375,-122.24430084228515625,anonymous,EN,YTOC,Strongly,Not at All,Strongly,Moderately,Not at All,Not at All,Slightly,Not at All,I was saddened and horrified to read about it. I thought about how the child's parents must be feeling and my heart went out to them. I can't imagine having that happen,Completely Unjustified,Completely Unjustified,Very Unjustified,Completely Justified,Very Justified,Somewhat Justified,Very Unjustified,Very Unjustified,Very Unjustified,Completely Oppose,Completely Oppose,None of the above,4.50,Slightly,Slightly,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,"I felt like I could understand the feelings of the people attacking the perpetrator, but don't support mob justice. I don't think they were in the right to do that before he was proven guilty. ",Somewhat Unjustified,Completely Justified,Very Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Very Unwilling,About once a month,Between 5 minutes and 15 minutes,No Change,Slightly Increase,No Change,Slightly Decrease,Completely Disapprove,Homicide,,,103,9606193,,0,-9,Negative,
2018-10-23 23:47:11,2018-10-23 23:51:41,IP Address,104.238.59.38,100,270,True,2018-10-23 23:51:42,R_29uM2zpXsFTw0YB,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,2SBK,Extremely,Not at All,Extremely,Extremely,Not at All,Not at All,Not at All,Not at All,I found it very sad and very disturbing that this man killed a young child. I don't know what any child could do that would make someone want to kill them/,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Justified,Completely Justified,Completely Justified,Completely Justified,Completely Justified,Neither Justified nor Unjustified,Strongly Oppose,Completely Oppose,Kitchen appliance,2.50,Not at all,Strongly,Moderately,Not at all,Not at all,Not at all,Not at all,Not at all,"I can fully understand why people attacked the alleged perpetrator. I would want to do the same. However, our justice system should not work that way.",Somewhat Unjustified,Completely Justified,Somewhat Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Somewhat Willing,About once a month,Between 5 minutes and 15 minutes,Moderately Decrease,Slightly Decrease,Greatly Decrease,Greatly Increase,Completely Approve,Homicide,,no,135,87354110,Foreign,0,-4,Negative,
2018-10-23 23:48:23,2018-10-23 23:52:00,IP Address,172.7.244.112,100,216,True,2018-10-23 23:52:01,R_3PLYJyRQO2ff3vu,,,,,32.8827972412109375,-97.20980072021484375,anonymous,EN,M6WX,Moderately,Not at All,Slightly,Moderately,Not at All,Moderately,Moderately,Not at All,It was very sad what happened to the child. This should of been prevented by having better mental health programs.,Completely Unjustified,Completely Unjustified,Completely Unjustified,Very Justified,Very Justified,Somewhat Justified,Very Justified,Very Justified,Very Justified,Completely Oppose,Completely Oppose,None of the above,5,Moderately,Not at all,Moderately,Moderately,Not at all,Moderately,Moderately,Not at all,It should of been avoided. It was awful and the person needs to be arrested asap and tried. Hopefully found guilty if it's true.,Completely Justified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unwilling,Several times per month,Between 5 minutes and 15 minutes,No Change,Greatly Decrease,Greatly Decrease,Moderately Increase,Neither Approve nor Disapprove,Homicide,,hi,117,81306080,,0,-8,Negative,
2018-10-23 23:45:30,2018-10-23 23:52:54,IP Address,76.187.65.25,100,444,True,2018-10-23 23:52:54,R_3GDOa3PcebAoUpV,,,,,33.14990234375,-96.8240966796875,anonymous,EN,AEHE,Moderately,Not at All,Strongly,Strongly,Not at All,Moderately,Slightly,Not at All,Pretty sick that someone would kill a child. It just makes it much worse than if it was another adult. Feel really bad for the child and his/her family,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Justified,Completely Justified,Somewhat Unjustified,Somewhat Unjustified,Somewhat Unjustified,Somewhat Unjustified,Strongly Oppose,Strongly Oppose,Mobile phone,2.00,Not at all,Moderately,Not at all,Slightly,Slightly,Not at all,Not at all,Not at all,while its wrong i understand why people in such an emotional situation would react that way. I might even do the same if i were there.  The perpetrator pretty much did the worst thing i can think of and emotions are going to run wild and some revenge even small as attacking the perp would help the people feel like they did something to help,Very Justified,Somewhat Unjustified,Very Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Completely Unjustified,Very Willing,About once a month,Between 5 minutes and 15 minutes,No Change,Slightly Increase,Slightly Increase,No Change,Strongly Disapprove,Homicide,,no,117,6912230,,0,-8,Negative,
