StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q3,Q4,Q5,Q6,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q16_8_TEXT,Q17_1,Q18_1,Q19,Q20_Browser,Q20_Version,Q20_Operating System,Q20_Resolution,Q21_1,Q21_2,Q21_3,Q21_4,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7,Q23_8,Q23_9,Q23_10,Q23_11,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q25_10,Q25_11,Q26,Q27,Bots,Q32 - Topics,Q23 - Sentiment Polarity,Q23 - Sentiment Score,Q23 - Sentiment,Q23 - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please type the survey code written at the top of the page.,What is your gender?,What is your age?,With what ethnicity do you identify?,Which of the following corresponds to your highest level of education?,Which quality do you think is more important for a child to have?,Which quality do you think is more important for a child to have?,Which quality do you think is more important for a child to have?,Which quality do you think is more important for a child to have?,"Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent, or what?",Would you call yourself a strong Republican or a not very strong Republican?,Would you call yourself a strong Democrat or a not very strong Democrat?,Do you think of yourself as closer to the Republican or Democratic Party?,What is your religious affiliation? - Selected Choice,What is your religious affiliation? - Other - Text,On a scale of 0-100 how strongly do you identify yourself as a fundamentalist Christian?,"On a scale of 0-100, how religious would you say you are?","50 States, D.C. and Puerto Rico",Browser Meta Info - Browser,Browser Meta Info - Version,Browser Meta Info - Operating System,Browser Meta Info - Resolution,"To what extent do you agree with the following statements? - Irish, Italians, Jewish and many other minorities overcame prejudice and worked their way up. Blacks should do the same without any special favors.",To what extent do you agree with the following statements? - Generations of slavery and discrimination have created conditions that make it difficult for blacks to work their way out of the lower class.,"To what extent do you agree with the following statements? - Over the past few years, blacks have gotten less than they deserve.",To what extent do you agree with the following statements? - It's really a matter of some people not trying hard enough; if blacks would only try harder they could be just as well off as whites.,Where would you rate the work ethic of each of the following groups in general on this scale? - Whites,Where would you rate the work ethic of each of the following groups in general on this scale? - Blacks,Where would you rate the work ethic of each of the following groups in general on this scale? - Asian Americans,Where would you rate the work ethic of each of the following groups in general on this scale? - Hispanic Americans,Where would you rate the work ethic of each of the following groups in general on this scale? - The mentally ill,Where would you rate the work ethic of each of the following groups in general on this scale? - Refugees,Where would you rate the work ethic of each of the following groups in general on this scale? - Muslims,Where would you rate the work ethic of each of the following groups in general on this scale? - Firefighters,Where would you rate the work ethic of each of the following groups in general on this scale? - Police,Where would you rate the work ethic of each of the following groups in general on this scale? - Children,Where would you rate the work ethic of each of the following groups in general on this scale? - The elderly,Where would you rate the intelligence of each of the following groups in general on this scale? - Whites,Where would you rate the intelligence of each of the following groups in general on this scale? - Blacks,Where would you rate the intelligence of each of the following groups in general on this scale? - Asian Americans,Where would you rate the intelligence of each of the following groups in general on this scale? - Hispanic Americans,Where would you rate the intelligence of each of the following groups in general on this scale? - The mentally ill,Where would you rate the intelligence of each of the following groups in general on this scale? - Refugees,Where would you rate the intelligence of each of the following groups in general on this scale? - Muslims,Where would you rate the intelligence of each of the following groups in general on this scale? - Firefighters,Where would you rate the intelligence of each of the following groups in general on this scale? - Police,Where would you rate the intelligence of each of the following groups in general on this scale? - Children,Where would you rate the intelligence of each of the following groups in general on this scale? - The elderly,Where would you rate the trustworthiness of each of the following groups in general on this scale? - Whites,Where would you rate the trustworthiness of each of the following groups in general on this scale? - Blacks,Where would you rate the trustworthiness of each of the following groups in general on this scale? - Asian Americans,Where would you rate the trustworthiness of each of the following groups in general on this scale? - Hispanic Americans,Where would you rate the trustworthiness of each of the following groups in general on this scale? - The mentally ill,Where would you rate the trustworthiness of each of the following groups in general on this scale? - Refugees,Where would you rate the trustworthiness of each of the following groups in general on this scale? - Muslims,Where would you rate the trustworthiness of each of the following groups in general on this scale? - Firefighters,Where would you rate the trustworthiness of each of the following groups in general on this scale? - Police,Where would you rate the trustworthiness of each of the following groups in general on this scale? - Children,Where would you rate the trustworthiness of each of the following groups in general on this scale? - The elderly,How much money did you spend on Black Friday and Cyber Monday shopping in 2018?,What if anything did you purchase on  Black Friday and Cyber Monday in 2018?,Bots,Q32 - Topics,Q23 - Sentiment Polarity,Q23 - Sentiment Score,Q23 - Sentiment,Q23 - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID74""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79""}","{""ImportId"":""QID29""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID38_8_TEXT""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID22""}","{""ImportId"":""QID20_BROWSER""}","{""ImportId"":""QID20_VERSION""}","{""ImportId"":""QID20_OS""}","{""ImportId"":""QID20_RESOLUTION""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_2""}","{""ImportId"":""QID24_3""}","{""ImportId"":""QID24_4""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID30_3""}","{""ImportId"":""QID30_4""}","{""ImportId"":""QID30_5""}","{""ImportId"":""QID30_6""}","{""ImportId"":""QID30_7""}","{""ImportId"":""QID30_8""}","{""ImportId"":""QID30_9""}","{""ImportId"":""QID30_10""}","{""ImportId"":""QID30_11""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID32_2""}","{""ImportId"":""QID32_3""}","{""ImportId"":""QID32_4""}","{""ImportId"":""QID32_5""}","{""ImportId"":""QID32_6""}","{""ImportId"":""QID32_7""}","{""ImportId"":""QID32_8""}","{""ImportId"":""QID32_9""}","{""ImportId"":""QID32_10""}","{""ImportId"":""QID32_11""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID33_2""}","{""ImportId"":""QID33_3""}","{""ImportId"":""QID33_4""}","{""ImportId"":""QID33_5""}","{""ImportId"":""QID33_6""}","{""ImportId"":""QID33_7""}","{""ImportId"":""QID33_8""}","{""ImportId"":""QID33_9""}","{""ImportId"":""QID33_10""}","{""ImportId"":""QID33_11""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""Bots_P_CEDfv6h5xw""}","{""ImportId"":""QID41_TEXT_bd13bfc9e12444888d1123c3Topics""}","{""ImportId"":""QID45_TEXT_bd13bfc9e12444888d1123c3SenPol""}","{""ImportId"":""QID45_TEXT_bd13bfc9e12444888d1123c3SenScore""}","{""ImportId"":""QID45_TEXT_bd13bfc9e12444888d1123c3Sentiment""}","{""ImportId"":""QID45_TEXT_bd13bfc9e12444888d1123c3Topics""}"
2018-10-23 23:39:39,2018-10-23 23:42:21,0,71.209.147.202,100,161,1,2018-10-23 23:42:21,R_3hoadY6wnlbZiRA,,,,,33.564697265625,-111.893096923828125,anonymous,EN,WSRL,2,35,6,5,,,,,2,1,,,8,deist,,0,3,,,,,5,1,1,3,74,0,75,25,19,6,17,64,75,51,41,83,0,98,20,37,7,22,58,47,75,50,86,0,80,22,30,0,7,73,52,46,73,1,nothing,,,0,-1,Negative,
2018-10-23 23:40:11,2018-10-23 23:43:36,0,76.187.65.25,100,204,1,2018-10-23 23:43:36,R_210PJMZBmnZnuPN,,,,,33.14990234375,-96.8240966796875,anonymous,EN,AEHE,2,33,6,3,,,,,1,,2,,7,,,,45,,,,,4,4,4,3,80,72,91,85,72,79,86,76,68,36,51,90,88,94,84,57,83,91,85,61,51,71,80,67,84,73,33,71,67,90,80,63,80,1,i didn't buy anything at all.,,,0,-1,Negative,
2018-10-23 23:40:51,2018-10-23 23:43:45,0,71.115.145.137,100,173,1,2018-10-23 23:43:45,R_xEoYC1bAyzPFe0x,,,,,43.1620025634765625,-76.323699951171875,anonymous,EN,HK2F,2,28,6,5,,,,,2,1,,,6,,,,33,,,,,4,2,2,3,74,63,97,67,52,40,65,97,92,43,72,76,74,85,73,8,51,73,72,75,53,75,76,61,81,67,39,22,73,85,82,41,85,2,A chromebook,,,0,1,Positive,
2018-10-23 23:40:40,2018-10-23 23:44:25,0,47.16.233.186,100,224,1,2018-10-23 23:44:25,R_A73fgygHnvPgmkx,,,,,41.1708984375,-74.36859893798828125,anonymous,EN,YCGS,2,47,6,3,,,,,1,,2,,7,,,,31,,,,,3,5,5,3,50,50,50,50,43,50,50,66,55,39,48,50,50,50,50,50,50,50,45,43,50,48,50,50,50,50,34,50,50,62,38,40,55,3,"4k monitor, video games",,,0,-1,Negative,
2018-10-23 23:40:24,2018-10-23 23:44:35,0,73.231.79.179,100,251,1,2018-10-23 23:44:35,R_2zojLV8Ns2U4BYI,,,,,37.8126068115234375,-122.24430084228515625,anonymous,EN,YTOC,2,38,6,2,,,,,1,,2,,6,,,,5,,,,,2,5,4,2,35,45,70,60,50,55,50,80,45,20,55,50,50,60,50,45,50,50,45,45,35,45,50,45,60,50,35,45,45,60,40,50,50,1,I don't think I bought anything,,,0,-1,Negative,
2018-10-23 23:41:31,2018-10-23 23:44:48,0,73.227.222.115,100,196,1,2018-10-23 23:44:48,R_3hbcvpWlFKBJw5W,,,,,41.3090057373046875,-72.61530303955078125,anonymous,EN,RWUM,2,33,6,5,,,,,1,,2,,7,,,,7,,,,,2,5,4,2,75,71,86,85,50,95,74,90,60,40,50,76,70,83,69,50,67,75,75,68,45,64,81,74,80,77,32,83,71,80,59,50,72,1,I didn't purchase anything.,,,0,-1,Negative,
2018-10-23 23:40:06,2018-10-23 23:44:51,0,68.59.144.118,100,284,1,2018-10-23 23:44:51,R_11Yee5WWbBgSOmy,,,,,35.4573974609375,-84.60430145263671875,anonymous,EN,VKVW,2,27,6,2,,,,,3,,,2,6,,,,44,,,,,4,4,1,4,88,22,95,25,51,51,29,95,89,31,76,85,18,82,23,60,24,6,75,73,22,50,80,28,91,25,41,11,11,94,50,31,80,1,I did not purchase anything on Black Friday or Cyber Monday in 2017.,,,0,-1,Negative,
2018-10-23 23:39:26,2018-10-23 23:45:36,0,100.7.42.168,100,369,1,2018-10-23 23:45:36,R_1N9zz3hjAA5s7cO,,,,,37.510894775390625,-77.6428985595703125,anonymous,EN,RIRS,2,51,6,3,,,,,1,,2,,5,,,17,48,,,,,2,5,4,1,70,78,88,86,65,77,86,96,66,10,66,71,73,81,84,69,67,76,78,75,42,88,75,76,81,87,72,87,90,100,90,12,92,1,I bought a kindle tablet on sale.,,,0,1,Positive,
