survey_start,qualtrics_ip,qualtrics_latitude,qualtrics_longitude,survey_code,gender,age,ethnicity,education,auth_inde_resp,auth_obed_self,auth_curi_mann,auth_cons_beha,party_id,party_str_R,party_str_D,party_id_ind,relig,relig_oth,relig_fund,relig_str,state,symb_rac_work,symb_rac_slavery,symb_rac_deserve,symb_rac_try,ethno_we_white,ethno_we_black,ethno_we_asian,ethno_we_hisp,ethno_we_mental,ethno_we_refugee,ethno_we_muslim,ethno_we_fire,ethno_we_police,ethno_we_child,ethno_we_elder,ethno_int_white,ethno_int_black,ethno_int_asian,ethno_int_hisp,ethno_int_mental,ethno_int_refugee,ethno_int_muslim,ethno_int_fire,ethno_int_police,ethno_int_child,ethno_int_elder,ethno_tru_white,ethno_tru_black,ethno_tru_asian,ethno_tru_hisp,ethno_tru_mental,ethno_tru_refugee,ethno_tru_muslim,ethno_tru_fire,ethno_tru_police,ethno_tru_child,ethno_tru_elder,survey_end,emo_ang_hom,emo_sat_hom,emo_sad_hom,emo_dis_hom,emo_hap_hom,emo_fea_hom,emo_anx_hom,emo_amu_hom,react_hom,pun_nopu_hom,pun_comm_hom,pun_short_pris_hom,pun_long_pris_hom,pun_life_pris_hom,pun_exe_inje_hom,pun_exe_fire_hom,pun_exe_hang_hom,pun_exe_publ_hom,torture,detain,emo_ang_mob,emo_sat_mob,emo_sad_mob,emo_dis_mob,emo_hap_mob,emo_fea_mob,emo_anx_mob,emo_amu_mob,react_mob,pun_nopu_mob,pun_comm_mob,pun_short_pris_mob,pun_long_pris_mob,pun_life_pris_mob,pun_exe_inje_mob,pun_exe_fire_mob,pun_exe_hang_mob,pun_exe_publ_mob,legal_def,punitive_hom,punitive_refugee,punitive_mus_imm,punitive_mus_mon,punitive_mus_reg,att_article,att_comment,mturk_code,battery,screen_width,screen_height,latitude,longitude,geobytes_latitude,geobytes_longitude,factor_sensational,factor_outgroup,factor_peer_viol,video_link,com_viol_report,com_info_report,com_pos_report,com_viol_like,com_info_like,com_pos_like,exclude,exclude_pre,mturk_id,comment_text,unsure_oe,cog_dissonance_oe,fake_news_oe,info_seeking_oe,racism_hate_oe,social_desirability_race_oe,violence_oe,lethal_oe,extrajudicial_oe,dehumanizing_oe,demonizing_oe,group_oe,ingroup_oe,anger_oe,disgust_oe,sadness_oe,fear_oe,anxiety_oe,exclude_oe,cog_dissonance_com,fake_news_com,info_seeking_com,racism_hate_com,unsure_com,violence_com,lethal_com,extrajudicial_com,dehumanizing_com,demonizing_com,group_com,ingroup_com,anger_com,disgust_com,sadness_com,fear_com,anxiety_com,auth,auth_log,pi_R,ethno_we_og,ethno_int_og,ethno_tru_og,ethno_og,white,relig_fund_log,south,symb_rac,symb_rac_log,commenter,lenient_hom,prison_hom,lethal_hom,elethal_hom,ejv_hom
2018-11-30 13:38:07,76.30.183.144,29.7852935791015625,-95.18520355224609375,ZP7A,Female,41,White,2,1,1,1,0,Independent,,,1,Christian,,100,100,Texas,4,2.0,2.0,4,23,57,38,55,72,57,38,100,10,49,100,59,58,32,58,47,28,40,100,53,41,100,36,49,59,56,66,76,58,11,10,24,57,2018-11-30 13:47:54,5,1,5,5,1,4,4,1,"I don't understand how anyone could kill a child. What could they have done that was so bad, nothing in my eyes. People are messed up in their heads.",-3,-3,-3,3,3,3,-3,3,-3,1,-3,5,1,5,5,1,5,5,1,they should let the law handle it. There are rules in place for a reason. There would be nobody left in the world if we all acted in this way.,-3,3,3,-3,-3,-3,-3,-3,-3,-3,3,-3,-3,-3,3,3,3,44573749,1.0,1920,976,29.816523699999998,-94.97416609999999,29.7712,-94.946503,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,3.0,1.3862943611198906,0,49.0,43.2,59.6,49.4,1,4.61512051684126,1,2.0,1.0986122886681098,0,-3.0,1.0,3,-1.0,-1.0
2018-11-30 13:38:51,47.40.98.212,42.19189453125,-121.72409820556640625,ODWF,Male,45,White,3,0,0,1,0,Independent,,,1,Agnostic,,0,,Oregon,2,2.0,1.0,1,77,76,76,76,54,84,76,76,76,16,29,77,77,77,77,36,77,76,76,76,25,81,75,75,75,77,15,77,76,76,12,57,83,2018-11-30 13:51:39,4,1,5,5,1,1,3,1,This was shocking and sad at the same time. The townspeople's reaction was shocking but understandable. Vigilante justice is dangerous however.,-3,0,-3,-3,3,3,3,3,3,-3,-3,2,1,4,3,1,1,4,1,I understand the attack and the emotions of the people involved. They are vigilante's and they should let the police department and court handle the suspect.,-3,1,1,-3,-3,-3,-3,-3,-3,-3,0,-2,0,0,-3,3,1,36603986,,1366,700,,,46.6092,-120.592003,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,0.6931471805599453,0,77.6,76.8,76.0,23.200000000000003,1,0.0,0,1.5,0.9162907318741551,0,-1.5,-1.0,3,3.0,-3.0
2018-11-30 13:40:10,68.201.138.145,31.7677001953125,-106.30159759521484375,CIL6,Male,30,Hispanic/Latino,3,0,0,0,0,Democrat,,2,,Christian,,100,100,Texas,1,1.0,1.0,1,0,100,100,100,0,100,100,100,0,0,0,0,100,100,100,0,100,100,100,0,0,0,0,100,100,100,0,100,100,100,0,0,0,2018-11-30 14:02:40,5,1,5,5,1,5,5,1,"That child didn't deserve to die. They still had their whole life ahead of them. It's a tragedy what happened, but we must learn to forgive and learn from this.",-3,-3,-3,3,3,-3,-3,-3,-3,-3,-3,5,1,5,5,1,5,5,1,Violence only begets more violence. We must hold back our anger and let the court convict him. Everybody is innocent until proven guilty.,-3,3,3,-3,-3,-3,-3,-3,-3,-3,0,3,3,-3,-3,3,1,59177501,1.0,1440,789,31.775948800000002,-106.30184960000001,29.721201,-98.126297,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,Violence only begets more violence. We must deal with the perpetrator in a respectful manner. Justice will be served in a court of law.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,100.0,100.0,0.0,0,4.61512051684126,1,1.0,0.6931471805599453,1,-3.0,1.0,-3,-3.0,-3.0
2018-11-30 13:44:17,72.182.197.198,32.847900390625,-96.9739990234375,1NKP,Female,47,African/Afro-Caribbean,3,1,1,1,1,Democrat,,1,,Other,SPIRITUALITY,0,96,Texas,1,1.0,1.0,1,88,92,92,91,83,93,92,93,78,50,77,89,90,91,86,89,84,83,87,83,74,81,69,90,79,76,79,80,67,82,74,83,90,2018-11-30 14:21:05,1,1,2,1,1,1,1,1,"What a sad circumstance, a child has been murdered.  There have always been child killers in the world and apparently there always will be.  ",-3,-3,-3,3,3,2,-1,-1,-3,-3,-3,1,1,1,1,1,1,1,1,"He has not been convicted of a crime.  In a country of laws, that is a democracy, this is totally unacceptable behavior.  They should find the perpetrators and arrest them.",-3,-3,1,1,-1,-3,-3,-3,-3,-3,0,0,0,0,-3,3,1,20217270,,1366,657,,,38.361,-90.660202,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,4.0,1.6094379124341003,0,92.0,86.8,78.4,14.266666666666652,0,0.0,1,1.0,0.6931471805599453,0,-3.0,1.0,2,-1.6666666666666667,-3.0
2018-11-30 15:59:11,137.103.49.50,25.7021942138671875,-80.29779815673828125,RVAO,Male,26,"Hispanic/Latino,White",2,0,0,0,0,Independent,,,2,Atheist,,0,,Florida,4,4.0,4.0,2,39,23,63,37,40,76,60,31,22,18,80,48,23,55,44,53,24,42,43,31,23,32,40,36,39,39,36,29,62,42,42,33,48,2018-11-30 16:10:24,1,1,1,1,1,1,1,1,"It came as more of a confusion than shock. I didn't see any motives as to why the man killed a child, but only emphasis on the fact that people punished him for it. I guess I didn't feel any sort of depth since I didn't hear of any greater details of the kid/why the kid was killed/etc.",-3,-3,-3,2,2,-1,-3,0,-1,0,-1,1,1,1,1,1,1,1,1,I guess it's tough to say without imposing your own morals on the situation. I think I'd have to know more of the entire situation surrounding the homicide before deciding if there's any moral justification or whatnot for supporting or encouraging even a public assault on someone who committed murder of a child.,-2,-2,1,-1,-2,-2,-3,-2,-2,-3,0,-1,0,0,-2,3,1,73394339,1.0,1920,969,25.7542029,-80.2946368,41.8498,-87.885902,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,No more info on the motive/etc.?,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,51.8,37.6,41.0,56.53333333333333,0,0.0,1,4.0,1.6094379124341003,1,-3.0,0.3333333333333333,-1,-1.3333333333333333,-0.5
2018-11-30 16:03:38,99.141.210.88,41.601806640625,-87.88990020751953125,QY89,Male,36,White,2,0,0,0,0,Republican,1,,,Agnostic,,0,,Illinois,5,4.0,5.0,2,63,24,58,29,40,29,29,60,57,34,38,53,15,64,24,23,24,25,41,39,18,38,55,28,43,43,39,26,17,71,36,45,50,2018-11-30 16:13:29,1,1,2,2,1,1,1,1,"I thought it was unfortunate, but there was likely to be more to the story than I was being told.",-3,-3,-3,-1,2,3,3,3,-3,-3,-2,3,1,2,4,1,1,1,1,"I thought that they should have left the man alone, unless he was currently threatening the safety of other people.",-3,3,1,-2,-3,-3,-3,-3,-3,-3,0,-3,-3,0,-3,3,1,95274613,,1517,730,,,41.865002000000004,-87.671799,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,1,33.8,30.4,31.4,68.13333333333334,1,0.0,0,4.5,1.7047480922384253,0,-3.0,-0.6666666666666666,3,1.0,-2.5
2018-11-30 16:06:47,63.87.167.174,41.9228973388671875,-87.6483001708984375,GRDW,Male,32,White,5,0,0,0,0,Democrat,,1,,Atheist,,0,,Illinois,2,1.0,2.0,1,97,96,97,97,83,93,94,99,97,74,83,96,97,98,98,97,93,96,98,98,50,96,98,97,98,97,78,97,96,98,86,66,97,2018-11-30 16:15:54,5,1,5,4,1,2,2,1,I have no idea how I could possibly understand the mentality or the complete lack of empathy required to senselessly murder a child in cold blood.  The sort of train of thought or inability to reason emotionally makes it hard for me to see a person like that as being on the same human level.,-3,-3,-3,1,3,2,1,-2,-2,-3,-3,3,2,4,4,2,1,1,2,"I'm totally against vigilantism like this.  Taking the law into your own hands and denying someone else their rights, even if they'd done the same to someone else, isn't up for us to decide.  It's up to the courts and our legal system.",-3,1,1,2,-1,-3,-3,-3,-3,-3,0,1,0,-1,-3,3,3,90396067,1.0,958,1088,41.8976654,-87.64375150000001,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0,95.4,96.4,97.0,3.7333333333333343,1,0.0,0,1.5,0.9162907318741551,0,-3.0,0.3333333333333333,2,-1.0,-3.0
2018-11-30 16:01:24,104.238.59.104,37.751007080078125,-97.82199859619140625,3QDK,Female,50,White,3,0,0,1,0,Democrat,,1,,Christian,,75,75,Florida,1,1.0,1.0,1,100,100,100,100,50,30,30,100,100,50,100,80,90,100,75,50,30,30,100,100,75,100,75,75,75,75,50,30,5,75,75,75,75,2018-11-30 16:26:44,5,1,5,5,1,1,1,1,I think it is horribly sad that this child was murdered. It makes me very angry and very sad. I pray for the family of this child.,-3,-3,-3,3,3,3,3,3,0,-3,-3,1,3,1,1,3,1,1,1,"I know it was wrong for these people to attack the alleged perpetrator, but part of me is glad they did. ",1,3,2,-3,-3,-3,-3,-3,-3,1,3,-3,-3,2,3,3,1,41800425,1.0,1280,616,20.660834299999998,-87.09550279999999,28.548000000000002,-81.006401,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,0.6931471805599453,0,72.0,65.0,52.0,37.0,1,4.330733340286331,1,1.0,0.6931471805599453,0,-3.0,1.0,3,2.0,-3.0
2018-11-30 16:12:27,66.108.217.161,40.686798095703125,-73.822998046875,UEYJ,Female,46,Hispanic/Latino,5,1,0,0,1,Democrat,,1,,Christian,,0,0,New York,3,2.0,2.0,3,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,75,50,50,50,2018-11-30 16:27:53,5,1,5,5,1,1,2,1,I feel upset to read about it. Reading about those type of crimes are upsetting. It is also sad that this happened.,-3,-3,-3,3,3,3,3,3,3,0,-2,1,1,1,1,1,1,2,1,"I feel that people were angry and upset. I have to wonder, since he has not gone to trial, if he is innocent and people are attacking possibly an innocent person.",-2,0,0,0,-3,-3,-3,-3,-3,0,2,0,0,0,-3,3,1,30197735,,1366,591,40.5987328,-73.7533952,40.748798,-73.984596,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2.0,1.0986122886681098,0,50.0,50.0,50.0,50.0,0,0.0,0,2.0,1.0986122886681098,0,-3.0,1.0,3,3.0,-1.0
2018-11-30 16:12:19,47.183.31.37,30.5117950439453125,-96.31710052490234375,MC1K,Female,65,White,2,1,1,1,0,Democrat,,2,,Christian,,10,92,Texas,2,2.0,2.0,2,97,97,97,97,97,97,97,97,97,97,97,96,96,96,96,96,96,96,96,96,96,96,97,97,97,97,97,97,97,97,97,97,97,2018-11-30 16:27:43,5,1,5,5,1,5,5,1,I am a mother and can't imagine losing a child in this way. What kind of person could hurt an innocent child.,-3,-3,-3,3,3,3,-3,-3,-3,-1,-3,5,2,5,5,1,5,5,1,"Although I feel like the perpetrator deserved what he got, we as a society can not take the law in to our own hands in such a vigilante way.",2,3,-3,-3,-3,-3,-3,-3,-3,-3,3,0,0,0,0,3,1,56479037,1.0,1272,574,30.610404700000004,-96.30828120000001,43.667,-79.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,3.0,1.3862943611198906,0,97.0,96.0,97.0,3.3333333333333286,1,2.3978952727983707,1,2.0,1.0986122886681098,0,-3.0,1.0,3,-3.0,-2.0
