survey_code,text,created
YCGS,"Guilty or not, people shouldn't take matters into their own hands like this.  I hope the vigilantes are properly punished as well, and for everyone's sake I hope they didn't attack an innocent man.",2018-10-24 03:46:30.493857+00:00
QP11,"They should have let the residents deal with him, then deport him.",2018-10-24 03:50:05.273912+00:00
CIL6,Violence only begets more violence. We must deal with the perpetrator in a respectful manner. Justice will be served in a court of law.,2018-11-30 18:50:50.527242+00:00
RVAO,No more info on the motive/etc.?,2018-11-30 21:04:25.852128+00:00
HPE0,This is really disturbing.,2018-11-30 21:26:18.941257+00:00
8WK3,Need to kill that man! ,2018-11-30 21:27:15.495238+00:00
9SE6,"He got what he deserved, and he'll be expecting more beatings to come, if he survives.",2018-11-30 21:34:48.749906+00:00
CLPC,"I hope the guy was the actual perpetrator, otherwise there are multiple victims here.",2018-11-30 21:53:00.362078+00:00
9EFY,"I am sorry to see people letting emotions rule over rational, and legality. While this is a heinous crime, we must allow due process of the law to prevail, and stay away from vigilante behavior. ",2018-11-30 22:58:37.825288+00:00
KPJS,"Everyone deserves due process.  I can understand the overwhelming anger and grief that made these people seek retribution before the man was tried for the crime, but it doesn't make it right.  I hope there's justice for the child's family and that they can find peace.",2018-11-30 23:10:50.289548+00:00
MUSZ,The three people who beat him won't be charged. There'd be too much public outcry.,2018-12-01 00:21:18.060716+00:00
MFVL,This is a terrible thing.,2018-12-01 01:37:40.608712+00:00
K6ZM,Vigilante justice is the best kind of justice for monsters like this perpetrator!,2018-12-01 01:52:49.127794+00:00
ZV1N,I would be serving life in prison.Hurt my child and you're dead..PERIODT!,2018-12-01 02:24:34.019276+00:00
O4T0,no race mentioned = he wasn't white,2018-12-01 03:34:38.355295+00:00
PHIM,Fuck that dude.,2018-12-01 05:34:48.216605+00:00
PNAV,I think this person should get death penalty for killing a child.,2018-12-01 05:48:51.141082+00:00
MMH7,A tragic situation. ,2018-12-01 07:17:29.260451+00:00
OIG9,I understand why local residents beat up this person.  I hope they are not charged with crime,2018-12-01 10:51:42.952394+00:00
KO17,"I hope they got the right person - but if they did, I would support the beating especially if he truly killed a child. ",2018-12-01 14:45:35.452562+00:00
DTKW,Even if he really did kill the child it's not up to the citizens to dispense street justice.,2018-12-01 15:24:46.746446+00:00
E4IF,When will more details be available?,2018-12-01 15:27:53.189826+00:00
3V3C,Rest in peace,2018-12-01 15:34:24.513785+00:00
P5I9,Seems like someone has an agenda against Muslims.,2018-12-01 15:45:11.981572+00:00
XNQO,Gotta understand that we don't know the circumstances here. What promted him to do what he did? Lynching is an outdated method of justice and in a first world country should not be done.,2018-12-01 16:52:16.372685+00:00
X7KE,Truly sad to hear a child got killed.,2018-12-01 17:09:51.932092+00:00
3QVW,"I can't even imagine the pain of losing a child. Prayers to all involved, so sad.",2018-12-01 17:28:51.237467+00:00
L7NF,The loss of a child is a tragedy. People taking the law into their own hands is even more of a tragedy. ,2018-12-01 18:37:08.044326+00:00
6MFT,"I understand the urge to make someone pay, but vigilantism is probably not the answer. ",2018-12-01 20:58:26.256420+00:00
BVDK,I do not think this was the proper way to take care of the situation. People should not take actions into their own hands and shouldl et authorities take care of these matters,2018-12-01 21:02:10.777811+00:00
MKSV,I think that he will get what he has coming to him in a court of law ,2018-12-01 22:43:31.099374+00:00
YUEW,"This is clearly a hate crime. There's no mention of evidence, since of course they didn't need any to savagely beat a Muslim refugee. This is just more right-wing paranoia, racism, and violence.",2018-12-01 22:44:55.794646+00:00
CR8T,It seems terrible.,2018-12-02 00:38:34.498056+00:00
VFZH,this makes me a little sad,2018-12-02 01:06:54.898481+00:00
D84F,"Not a fan of vigilante justice, regardless.",2018-12-02 01:10:57.253234+00:00
YEES,"Hopefully the vigilantes found the right person, and not just some innocent bystander.",2018-12-02 01:15:42.567744+00:00
D7QL,"i DON'T SEE WHY THE MEDIA HAS TO INDICATE THE MANS FAITH , IS IT NECESSARY TO INSTIGATE MORE HATE IN THIS WORLD . WHAT HE DID WAS UNFORGIVABLE BUT IT SHOULDN'T BE LABELED WITH A RELIGION, JUST LIKE ANY OTHER CRIMINAL ACT.",2018-12-02 01:24:06.937739+00:00
XMWT,"I understand why they beat that man but we practice ""innocent until proven guilty"" in this country for a reason.",2018-12-02 03:19:46.676114+00:00
ZYN9,The only victim was the child and his/her parents.,2018-12-02 03:55:07.281898+00:00
AQIZ,"It is not up to the local citizens to take the law into their own hands. I know they were pissed, and I don't blame them, but we can not act like savages. Let the law take care of this suspect.",2018-12-02 04:49:08.046053+00:00
D574,Terrible that the man didn't suffer the same fate as his child victim.,2018-12-02 11:21:10.762108+00:00
X6MU,Very sad and my prayers go out to the family whose child was killed. ,2018-12-02 15:36:18.639125+00:00
LX90,Sick,2018-12-02 16:54:33.381775+00:00
PHNQ,this is so sad.he should be killed too..i feel so much pain for the families of the victims,2018-12-02 16:57:14.401210+00:00
GO70,This is such a tragic story.  :-(,2018-12-02 17:35:14.684197+00:00
DQZR,This is a very heartbreaking story. My heart goes out to the parents. The poor child.,2018-12-02 17:53:37.127118+00:00
KJTE,Prayers for the childs family,2018-12-02 17:56:01.479103+00:00
KJTE,,2018-12-02 17:56:01.694990+00:00
W9Q3,Mob justice is anarchy and disrespectful of law enforcement.,2018-12-02 19:29:25.790966+00:00
3N7K,"If more people took it into their own hands to extract justice, there would be less crime like this.",2018-12-02 20:01:34.750549+00:00
6ARX,This is the way the world is now.,2018-12-02 20:14:16.810477+00:00
ACH0,An eye for an eye....He should suffer the same horrible death his victim suffered.,2018-12-02 21:12:06.387998+00:00
HCOJ,I pray for all involved.,2018-12-02 21:31:58.120133+00:00
XAKI,While it is appalling that someone could hurt a child it is also wrong to take justice into your own hands. We have a system of justice in this country that needs to be followed regardless of how much our emotions are pushing us to seek revenge.,2018-12-02 23:20:54.774136+00:00
